,BCl,BBr,BI,BAt,BX
R$^2$,1.0,1.0,-2.7441618816450068e+23,1.0,1.0
MAE,0.02,0.02,182771685869.46,0.04,0.03
RMSE,0.02,0.03,415367836564.04,0.05,0.04
