,BCl,BBr,BI,BAt,BX
col1,V$_{S}$$_{max}$,V$_{S}$$_{max}$,V$_{S}$$_{max}$,V$_{S}$$_{max}$,V$_{S}$$_{max}$
col2,$\mu^{donor}_{C-X}$,R$^{complex}_{C-X}$,$\mu^{complex}_{C-X}$,$\Delta$k$^{a}_{C-X}$,k$^{a}_{X\cdots N}$
col3,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,k$^{a}_{X\cdots N}$,K(r)$^{BCP}$,$\rho^{BCP}$
col4,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\mu_{X\cdots N}$,H(r)$^{BCP}$,G(r)$^{BCP}$
col5,$\nabla^{2} \rho^{BCP}$,$\Delta \rho$,H(r)$^{BCP}$,sign$\lambda_{2}* \rho$,$\Delta \rho$
