,BACl,BABr,BAI,BAAt,BAX
col1,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\rho^{BCP}$
col2,$\Delta$k$^{a}_{C-X}$,H(r)$^{BCP}$,E$_{bind}$,R$^{complex}_{C-X}$,$\nabla^{2} \rho^{BCP}$
col3,E$^{CP}_{int}$,E$^{CP}_{int}$,E$^{CP}_{int}$,E$_{bind}$,E$^{CP}_{int}$
col4,E$^{CP}_{bind}$,E$^{CP}_{bind}$,E$^{CP}_{bind}$,E$^{CP}_{bind}$,E$^{CP}_{bind}$
col5,E$^{NH_3}_{def}$,E$^{NH_3}_{def}$,E$^{NH_3}_{def}$,E$^{NH_3}_{def}$,E$^{NH_3}_{def}$
