,BACl,BABr,BAI,BAAt,BAX
col1,V$_{max}$(r),k$^{a}$$^{donor}$$_{C-X}$,V$_{max}$(r),V$_{max}$(r),k$^{a}$$^{complex}$$_{C-X}$
col2,R$_{X\cdots N}$,G(r)$^{BCP}$,$\Delta$k$^{a}_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\Delta$k$^{a}_{C-X}$
col3,G(r)$^{BCP}$,V(r)$^{BCP}$,R$_{X\cdots N}$,R$_{X\cdots N}$,G(r)$^{BCP}$
col4,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,G(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,$\nabla^{2} \rho^{BCP}$
col5,$\nabla^{2} \rho^{BCP}$,sign$\lambda_{2}* \rho$,$\nabla^{2} \rho^{BCP}$,E$^{CP}_{bind}$,E$^{CP}_{int}$
