Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
3-5-NO2BBr,c1c(N(=O)=O)cc(N(=O)=O)cc1(Br),Br,H,NO2,H,27.7,2.030362342,1.8917,3.242,-10.379,C1,1.895,0.0033,3.196,-0.046,-8.48,,2.9754,0.153,-10.639,0.015574075,0.011023425,-0.001328336,-0.009695089,0.049407048,0.001328336,2.33E-06,-0.015574075,-4.66,-4.624847676,-4.26,-4.225173411,0.034820502,6.09E-06,5.38,-0.02239
3-5-OHBBr,c1c(O)cc(O)cc1(Br),Br,H,OH,H,13.4,2.052578529,1.9026,3.057,-9.654,C1,1.9029,0.0003,3.082,0.025,-8.327,,3.0671,0.111,-9.798,0.0131,0.00921,-0.00124,-0.00796,0.0418,0.00124,2.22E-06,-0.0131,-2.75,-2.723046476,-2.4,-2.370221788,0.027959313,0.001818899,3.98,-0.01539
3-5-OOCMeBBr,c1c(OC(=O)C)cc(OC(=O)C)cc1(Br),Br,H,OOCMe,H,11.4,2.050101275,1.9004,3.093,-10.107,C1,1.901,0.0006,3.111,0.018,-8.667,,3.0491,0.118,-10.06,0.013539569,0.009536199,-0.001265045,-0.008271153,0.043204977,0.001265045,1.22E-06,-0.013539569,-2.89,-2.851719182,-2.52,-2.480411932,0.036885008,0.00270306,4.18,-0.01635
3-5-SHBBr,c1c(S)cc(S)cc1(Br),Br,H,SH,H,14.9,2.051157031,1.9021,3.057,-10.329,C1,1.9024,0.0003,3.08,0.023,-8.795,,3.0531,0.117,-10.084,0.0135,0.00947,-0.00126,-0.00821,0.0429,0.00126,1.98E-06,-0.0135,-2.99,-2.967933941,-2.63,-2.602941539,0.025564737,0.001493724,4.16,-0.01634
4-BH2BBr,c1cc(B)ccc1(Br),Br,H,H,BH2,14.6,2.052534047,1.8998,3.048,-11.415,C1,1.8994,-0.0004,3.08,0.032,-10.257,,3.0605,0.114,-9.72,0.0133,0.00933,-0.00125,-0.00808,0.0423,0.00125,8.57E-07,-0.0133,-2.94,-2.914852285,-2.59,-2.561963691,0.026777713,0.001258596,4.07,-0.01576
4-CF3BBr,c1cc(C(F)(F)F)ccc1(Br),Br,H,H,CF3,17.3,2.047509838,1.8991,3.097,-10.177,C1,1.8998,0.0007,3.112,0.015,-8.796,,3.0446,0.121,-9.886,0.013684319,0.009626987,-0.001266869,-0.008360118,0.043575427,0.001266869,9.24E-07,-0.013684319,-3.23,-3.19919441,-2.87,-2.839935706,0.029181074,0.00088322,4.3,-0.01684
4-CH3BBr,c1cc(C)ccc1(Br),Br,H,H,CH3,9.5,2.057444868,1.9043,3.029,-9.472,C1,1.9042,-0.0001,3.064,0.035,-8.203,,3.0864,0.105,-9.727,0.0127,0.00887,-0.00122,-0.00764,0.0404,0.00122,1.27E-06,-0.0127,-2.39,-2.359869706,-2.05,-2.024128913,0.023441872,0.002429215,3.76,-0.01416
4-CHOBBr,c1cc(C(=O))ccc1(Br),Br,H,H,CHO,16.8,2.048827521,1.8988,3.087,-10.81,C1,1.8991,0.0003,3.104,0.017,-9.556,,3.0483,0.12,-9.849,0.013599248,0.009559782,-0.001262362,-0.00829742,0.043288579,0.001262362,1.57E-06,-0.013599248,-3.17,-3.145403668,-2.82,-2.793451454,0.02574546,0.000803087,4.24,-0.01657
4-ClBBr,c1cc(Cl)ccc1(Br),Br,H,H,Cl,14.6,2.050464725,1.9007,3.093,-9.481,C1,1.9014,0.0007,3.111,0.018,-8.094,,3.0565,0.115,-9.949,0.013371694,0.009403478,-0.001255924,-0.008147555,0.042637608,0.001255924,2.10E-06,-0.013371694,-2.95,-2.918868973,-2.59,-2.562881424,0.025596112,0.001522464,4.14,-0.016
4-CNBBr,c1cc(C#N)ccc1(Br),Br,H,H,CN,19.8,2.045283216,1.897,3.121,-10.541,C1,1.8979,0.0009,3.129,0.008,-9.145,,3.0333,0.127,-10.012,0.013981868,0.009844308,-0.0012779,-0.008566408,0.044488834,0.0012779,3.08E-06,-0.013981868,-3.49,-3.462578972,-3.12,-3.092807064,0.026547417,0.000645519,4.46,-0.01766
4-COOHBBr,c1cc(C(=O)O)ccc1(Br),Br,H,H,COOH,15.6,2.049916813,1.8994,3.078,-10.771,C1,1.8995,0.0001,3.1,0.022,-9.506,,3.053,0.117,-9.841,0.013478828,0.009471846,-0.001257744,-0.008214102,0.04291836,0.001257744,2.20E-06,-0.013478828,-3.06,-3.033660541,-2.71,-2.679750967,0.02903612,0.001212913,4.17,-0.01625
4-FBBr,c1cc(F)ccc1(Br),Br,H,H,F,13.7,2.051163091,1.9021,3.09,-8.798,C1,1.9029,0.0008,3.106,0.016,-7.431,,3.0626,0.113,-9.822,0.013213896,0.009288501,-0.00124974,-0.008038761,0.042152962,0.00124974,2.00E-06,-0.013213896,-2.81,-2.786366577,-2.47,-2.442758181,0.025618703,0.001623116,4.06,-0.01559
4-NH2BBr,c1cc(N)ccc1(Br),Br,H,H,NH2,7.5,2.058843497,1.9044,3.05,-8.023,C1,1.9046,0.0002,3.082,0.032,-6.796,,3.0952,0.102,-9.792,0.0216,0.0325,-0.00888,-0.0236,0.166,0.00888,2.79E-06,0.0216,-2.19,-2.156200202,-1.85,-1.820265337,0.026645936,0.003088727,3.65,-0.01355
4-NO2BBr,c1cc(N(=O)=O)ccc1(Br),Br,H,H,NO2,20.9,2.04374072,1.8958,3.138,-10.879,C1,1.8968,0.001,3.141,0.003,-9.528,,3.0269,0.131,-9.992,0.014153302,0.009970087,-0.001283698,-0.008686389,0.045015141,0.001283698,8.97E-07,-0.014153302,-3.63,-3.597394996,-3.26,-3.23015182,0.029346109,0.00050207,4.55,-0.01812
4-OHBBr,c1cc(O)ccc1(Br),Br,H,H,OH,10.2,2.055360596,1.9035,3.069,-8.337,C1,1.904,0.0005,3.094,0.025,-7.03,,3.0811,0.106,-9.804,0.0128,0.00896,-0.00123,-0.00773,0.0407,0.00123,3.98E-06,-0.0128,-2.45,-2.422096058,-2.11,-2.082886444,0.024773448,0.002340108,3.82,-0.0144
4-OOCMeBBr,c1cc(OC(=O)C)ccc1(Br),Br,H,H,OOCMe,11.5,2.053416953,1.9024,3.069,-9.45,C1,1.9028,0.0004,3.093,0.024,-8.104,,3.0703,0.11,-9.929,0.013030643,0.009150083,-0.001240649,-0.007909435,0.041562928,0.001240649,1.59E-06,-0.013030643,-2.66,-2.623951431,-2.31,-2.278683825,0.029246335,0.00206984,3.95,-0.0151
4-SHBBr,c1cc(S)ccc1(Br),Br,H,H,SH,12.2,2.05339661,1.9016,3.077,-9.111,C1,1.9021,0.0005,3.101,0.024,-7.776,,3.0697,0.11,-9.965,0.013,0.00916,-0.00124,-0.00792,0.0416,0.00124,6.24E-07,-0.013,-2.68,-2.655358909,-2.33,-2.304395604,0.023619457,0.001984938,3.96,-0.01512
BBr,c1ccccc1(Br),Br,H,H,H,10.9,2.055954729,1.9042,3.027,-9.665,C1,1.9041,-0.0001,3.06,0.033,-8.405,,3.08,0.107,-9.629,0.012812198,0.008977821,-0.001228553,-0.007749268,0.040825498,0.001228553,7.72E-07,-0.012812198,-2.52,-2.490418037,-2.18,-2.154482577,0.023379749,0.002137674,3.83,-0.01456
opp_H_2-4-6_OH_3-5_CNBBr,c1(O)c(C#N)c(O)c(C#N)c(O)c1(Br),Br,OH,CN,OH,21,2.027898988,1.881,3.429,-5.972,C1,1.8874,0.0064,3.313,-0.116,-3.721,,2.9714,0.151,-11.107,0.0155,0.0111,-0.00135,-0.00976,0.0498,0.00135,6.23E-07,-0.0155,-4.13,-4.076768328,-3.71,-3.66114073,0.046793383,0.002065887,5.38,-0.02197
opp_H_2-4-6_OH_3-5_FBBr,c1(O)c(F)c(O)c(F)c(O)c1(Br),Br,OH,F,OH,13,2.035693266,1.8826,3.402,-5.633,C1,1.8877,0.0051,3.315,-0.087,-3.781,,3.0083,0.137,-10.555,0.0145,0.0103,-0.00132,-0.009,0.0466,0.00132,2.36E-06,-0.0145,-3.22,-3.17528818,-2.83,-2.785817495,0.040261009,0.003921495,4.71,-0.0186
opp_H_2-4-6_SH_3-5_CNBBr,c1(S)c(C#N)c(S)c(C#N)c(S)c1(Br),Br,SH,CN,SH,25.9,2.029810799,1.8942,3.163,-6.545,C1,1.8978,0.0036,3.116,-0.047,-4.557,,2.9652,0.154,-11.08,0.0159,0.0113,-0.00135,-0.00991,0.0504,0.00135,4.38E-07,-0.0159,-4.66,-4.628305253,-4.25,-4.214444308,0.034845602,0.00071009,13.35,-0.02183
opp_H_2-4-6_SH_3-5_FBBr,c1(S)c(F)c(S)c(F)c(S)c1(Br),Br,SH,F,SH,18.9,2.036199648,1.8935,3.172,-6.239,C1,1.8962,0.0027,3.144,-0.028,-4.555,,2.9924,0.146,-10.679,0.0151,0.0107,-0.00133,-0.00933,0.048,0.00133,8.98E-07,-0.0151,-3.9,-3.865567456,-3.51,-3.477620384,0.030490687,0.001888929,4.98,-0.02029
opp_H_2-4-6-OHBBr,c1(O)cc(O)cc(O)c1(Br),Br,OH,H,OH,6.7,2.04529134,1.8871,3.327,-5.565,Cs,1.8909,0.0038,3.281,-0.046,-3.961,,3.0484,0.116,-10.238,0.0134,0.00954,-0.00128,-0.00826,0.0433,0.00128,4.33E-07,-0.0134,-2.43,-2.390334664,-2.05,-2.009385012,0.035075271,0.005539717,4.16,-0.0156
opp_H_2-4-6-SHBBr,c1(S)cc(S)cc(S)c1(Br),Br,SH,H,SH,14.5,2.043054324,1.898,3.092,-6.147,C1,1.8993,0.0013,3.099,0.007,-4.615,,3.0197,0.134,-10.427,0.0143,0.0101,-0.00131,-0.0088,0.0457,0.00131,5.67E-07,-0.0143,-3.35,-3.315216524,-2.96,-2.927371953,0.030095356,0.002532691,4.56,-0.01796
opp_H_2-6_3-5_4-OHBBr,c1(O)c(O)c(O)c(O)c(O)c1(Br),Br,OH,OH,OH,7.3,2.043615726,1.886,3.342,-6.033,C1,1.8899,0.0039,3.287,-0.055,-4.363,,3.0381,0.121,-10.358,0.0137,0.00973,-0.00129,-0.00844,0.0441,0.00129,3.00E-06,-0.0137,-2.59,-2.546442085,-2.21,-2.168626353,0.036088071,0.005285575,4.25,-0.01633
opp_H_2-6_3-5_4-SHBBr,c1(S)c(S)c(S)c(S)c(S)c1(Br),Br,SH,SH,SH,15.1,2.041953134,1.9018,3.021,-6.491,C1,1.9033,0.0015,3.021,0,-4.767,,3.0078,0.139,-10.734,0.0146,0.0104,-0.00132,-0.00903,0.0467,0.00132,4.98E-07,-0.0146,-3.49,-3.457541953,-3.1,-3.067486725,0.029856902,0.002656373,,-0.01785
