Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
3-5-CHOBABr,c1c(C(=O))cc(C(=O))cc1(C#C(Br)),Br,H,CHO,H,31.3,1.993707886,1.797,4.524,-5.467,1.2113,17.185,3.463,C1,1.8087,0.0117,4.141,-0.383,-4.127,1.2128,0.0015,17.041,-0.144,4.18,2.9133,0.171,-11.238,0.01716155,0.012517333,-0.001428503,-0.011088831,0.055783344,0.001428503,3.09E-06,-0.01716155,-5.65,-5.596229871,-5.19,-5.13734367,0.052240793,0.000415537,6.37,-0.02455
3-5-ClBABr,c1c(Cl)cc(Cl)cc1(C#C(Br)),Br,H,Cl,H,31.5,1.993588418,1.7974,4.52,-5.23,1.2115,17.173,3.208,C1,1.809,0.0116,4.142,-0.378,-3.892,1.2129,0.0014,17.031,-0.142,3.925,2.9158,0.171,-11.244,0.01707556,0.012454158,-0.001427306,-0.011026852,0.055525856,0.001427306,1.37E-06,-0.01707556,-5.59,-5.543458833,-5.14,-5.089544848,0.050068983,0.000386169,6.32,-0.0243
3-5-CNBABr,c1c(C#N)cc(C#N)cc1(C#C(Br)),Br,H,CN,H,36.9,1.989532844,1.7955,4.537,-6.49,1.2113,17.184,4.3,C1,1.808,0.0125,4.116,-0.421,-5.072,1.2128,0.0015,17.026,-0.158,5.076,2.8952,0.174,-11.394,0.017804218,0.012973241,-0.001428821,-0.01154442,0.057608246,0.001428821,9.61E-07,-0.017804218,-6.23,-6.170821495,-5.76,-5.702714783,0.057392646,-0.00010743,6.77,-0.02665
3-5-COOHBABr,c1c(C(=O)O)cc(C(=O)O)cc1(C#C(Br)),Br,H,COOH,H,29.9,1.994265122,1.7975,4.519,-5.128,1.2113,17.186,3.097,C1,1.8089,0.0114,4.147,-0.372,-3.797,1.2127,0.0014,17.047,-0.139,3.798,2.9183,0.17,-11.237,0.016988552,0.012394075,-0.001427324,-0.010966751,0.055285599,0.001427324,2.54E-06,-0.016988552,-5.49,-5.44252393,-5.04,-4.988544535,0.050859645,0.00059582,6.26,-0.02401
3-5-FBABr,c1c(F)cc(F)cc1(C#C(Br)),Br,H,F,H,31.1,1.994051709,1.7976,4.519,-4.986,1.2114,17.178,3.02,C1,1.8091,0.0115,4.145,-0.374,-3.641,1.2128,0.0014,17.038,-0.14,3.675,2.9184,0.17,-11.096,0.016989379,0.012391976,-0.001426807,-0.010965169,0.055275134,0.001426807,5.38E-07,-0.016989379,-5.53,-5.475973951,-5.07,-5.019786627,0.049785349,0.000428024,6.26,-0.02403
3-5-NH2BABr,c1c(N)cc(N)cc1(C#C(Br)),Br,H,NH2,H,24.3,2.001225821,1.8003,4.491,-3.331,1.2118,17.139,1.511,C1,1.8108,0.0105,4.167,-0.324,-2.08,1.2131,0.0013,17.02,-0.119,2.124,2.9454,0.166,-11.083,0.0161,0.0117,-0.00142,-0.0103,0.0527,0.00142,2.08E-06,-0.0161,-4.73,-4.688970989,-4.3,-4.25510797,0.04346068,0.001431349,5.72,-0.02127
3-5-NO2BABr,c1c(N(=O)=O)cc(N(=O)=O)cc1(C#C(Br)),Br,H,NO2,H,37.4,1.988630743,1.795,4.579,-6.744,1.2111,17.194,4.548,C1,1.8076,0.0126,4.115,-0.464,-5.301,1.2128,0.0017,17.032,-0.162,5.318,2.892,0.175,-11.4,0.017919482,0.013054719,-0.001428621,-0.011626098,0.057933359,0.001428621,5.32E-07,-0.017919482,-6.31,-6.250988344,-5.84,-5.779850767,0.060272287,-0.000123055,6.84,-0.02699
3-5-OHBABr,c1c(O)cc(O)cc1(C#C(Br)),Br,H,OH,H,28.4,1.997422966,1.7992,4.502,-3.902,1.2117,17.148,1.994,C1,1.8103,0.0111,4.155,-0.347,-2.589,1.213,0.0013,17.021,-0.127,2.61,2.9322,0.168,-11.077,0.0165,0.0121,-0.00142,-0.0106,0.0539,0.00142,6.59E-07,-0.0165,-5.14,-5.096591747,-4.7,-4.653079546,0.046152069,0.000768385,5.98,-0.02262
3-5-OOCMeBABr,c1c(OC(=O)C)cc(OC(=O)C)cc1(C#C(Br)),Br,H,OOCMe,H,26.5,1.997355609,1.7985,4.509,-4.455,1.2113,17.18,2.492,C1,1.8095,0.011,4.161,-0.348,-3.189,1.2127,0.0014,17.05,-0.13,3.18,2.9307,0.169,-11.187,0.016569291,0.012093984,-0.00142407,-0.010669914,0.054072218,0.00142407,1.90E-06,-0.016569291,-5.11,-5.061343284,-4.67,-4.617685976,0.051091823,0.0012222,6,-0.02268
3-5-SHBABr,c1c(S)cc(S)cc1(C#C(Br)),Br,H,SH,H,29.5,1.996194533,1.7986,4.508,-4.488,1.2117,17.152,2.514,C1,1.8098,0.0112,4.15,-0.358,-3.172,1.213,0.0013,17.02,-0.132,3.205,2.926,0.169,-11.25,0.0167,0.0122,-0.00142,-0.0108,0.0545,0.00142,1.92E-06,-0.0167,-5.32,-5.269739189,-4.86,-4.813128366,0.046272551,0.000599083,6.11,-0.02325
